ATV- och MC-teknik,Reparation av motorcyklar och ATV,ATVREP0
Spårfordonsteknik,Kommunikationssystem,SPFKOM0
Spårfordonsteknik,Korg och boggi,SPFKOR0
Spårfordonsteknik,Spårbundna fordon – introduktion,SPFSPA0
Spårfordonsteknik,Styr- och säkerhetssystem,SPFSTY0
Stycknings- och charkuterikunskap,Charkuteri 1,STYCHA01
Stycknings- och charkuterikunskap,Charkuteri 2,STYCHA02
Stycknings- och charkuterikunskap,Charkuteri 3,STYCHA03
Stycknings- och charkuterikunskap,Charkuteri 4,STYCHA04
Stycknings- och charkuterikunskap,Charkuteri – specialisering,STYCHA00S
Stycknings- och charkuterikunskap,Finstyckning,STYFIN0
Stycknings- och charkuterikunskap,Styckning 1,STYSTY01
Stycknings- och charkuterikunskap,Styckning 2,STYSTY02
Stycknings- och charkuterikunskap,Styckning 3,STYSTY03
Stycknings- och charkuterikunskap,Styckning 4,STYSTY04
Stycknings- och charkuterikunskap,Styckning – specialisering,STYSTY00S
Support och servicearbete,Kundmottagning och reservdelshantering,SUPKUN0
Support och servicearbete,Service och reparationsarbete,SUPSER0
Support och servicearbete,Support och hemservice,SUPSUP0
Svenska,Litteratur,SVELIT0
Svenska,Retorik,SVERET0
Svenska,Skrivande,SVESKR0
Svenska,Svenska 1,SVESVE01
Svenska,Svenska 2,SVESVE02
Svenska,Svenska 3,SVESVE03
Svenska för döva,Svenska för döva 1,SVNSVN01
Svenska för döva,Svenska för döva 2,SVNSVN02
Svenska för döva,Svenska för döva 3,SVNSVN03
Svenska som andraspråk,Svenska som andraspråk 1,SVASVA01
Svenska som andraspråk,Svenska som andraspråk 2,SVASVA02
Svenska som andraspråk,Svenska som andraspråk 3,SVASVA03
Svenskt teckenspråk,Svenskt teckenspråk - aktiv tvåspråkighet,SVKSVE0
Svenskt teckenspråk,Svenskt teckenspråk 1,SVKSVK01
Svenskt teckenspråk,Svenskt teckenspråk 2,SVKSVK02
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 1,SVTSVT01
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 2,SVTSVT02
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 3,SVTSVT03
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 4,SVTSVT04
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 5,SVTSVT05
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 6,SVTSVT06
Svenskt teckenspråk för hörande,Svenskt teckenspråk för hörande 7,SVTSVT07
Systemkunskap,Injusteringsteknik,SYSINJ0
Systemkunskap,Systemuppbyggnad,SYSSYT0
Systemkunskap,Värmelära,SYSVÄM0
Teater,Dramatik och dramaturgi,TEADRM0
Teater,Fysisk teater,TEAFYS0
Teater,Ljud och ljus,TEALJU00S
Teater,Regi,TEAREG0
Teater,Röst,TEARÖS0
Teater,Scenisk gestaltning 1,TEASCE01
Teater,Scenisk gestaltning 2,TEASCE02
Teater,Scenisk gestaltning 3,TEASCE03
Teater,Sceniskt karaktärsarbete,TEASCI0
Teater,Sceniskt karaktärsarbete – text,TEASCN0
Teater,"Scenografi, mask och kostym",TEASCE00S
Teater,Teaterteori,TEATEA0
Teknik,Teknik 1,TEKTEK01
Teknik,Teknik 2,TEKTEK02
Teknik,Teknik – specialisering,TEKTEK00S
Teknik i vård och omsorg,Teknik i vård och omsorg,TENTEK0
Teknisk isolering,Brand- och ljudisolering,TEIBRA0
Teknisk isolering,Industriisolering,TEIINT0
Teknisk isolering,Kondensisolering,TEIKOD0
Teknisk isolering,VVS-isolering,TEIVVS0
Teknisk isolering,Ytbeklädnad – grund,TEIYTB0
Tillverkningsunderlag,Tillverkningsunderlag 1,TILTIL01
Tillverkningsunderlag,Tillverkningsunderlag 2,TILTIL02
Transportteknik,Fordonskombinationer – godstransporter,TRAFOR0
Transportteknik,Fordonskombinationer – persontransporter,TRAFOD0
Transportteknik,Yrkestrafik 1a,TRAYRK01a
Transportteknik,Yrkestrafik 1b,TRAYRK01b
Transportteknik,Yrkestrafik – vux,TRAYRK1
Trä,Bygga i trä,TRÄBYG0
Trä,Timring,TRÄTIM0
Trä,Trä 1 – stommar,TRÄTRK01
Trä,Trä 2 – beklädnad,TRÄTRK02
Trä,Trä 3 – montage,TRÄTRK03
Trädgårdsanläggning,Trädgårdsanläggning 1,TRDTRÄ01
Trädgårdsanläggning,Trädgårdsanläggning 2,TRDTRÄ02
Trädgårdsanläggning,Trädgårdsanläggning – specialisering,TRDTRÄ00S
Träningslära,Träningslära 1,TRNTRN01
Träningslära,Träningslära 2,TRNTRN02
Turism,Aktiviteter och upplevelser,TURAKT0
Turism,Besöksnäringen,TURBEÖ0
Turism,Guide och reseledare,TURGUI0
Turism,Hållbar turism,TURHÅL0
Turism,Marknadsföring och försäljning,TURMAS0
Turism,Reseproduktion och försäljning,TURRES0
Turism,Resmål och resvägar,TURREM0
Turism,Turistbyråservice,TURTUR0
Turism,Värdskap på resmålet,TURVÄR0
Tätskikt våtrum,Tätskikt våtrum,TÄTTÄT0
Utställningsdesign,Utställningsdesign 1,UTSUTS01
Utställningsdesign,Utställningsdesign 2,UTSUTS02
Utställningsdesign,Utställningsdesign 3,UTSUTS03S
VVS-teknik,Entreprenadteknik,VVSENT0
VVS-teknik,Sanitetsteknik 1,VVSSAN01
VVS-teknik,Sanitetsteknik 2,VVSSAN02
VVS-teknik,VVS TIG-svetsning rör,VVSVVI0
VVS-teknik,VVS gassvetsning rör,VVSVVG0
VVS-teknik,VVS svets industrirör,VVSVVV0
VVS-teknik,VVS svets och lödning rör,VVSVVS0
VVS-teknik,VVS-teknik,VVSVVT0
VVS-teknik,Värmeteknik 1,VVSVÄR01
VVS-teknik,Värmeteknik 2,VVSVÄR02
Vatten- och miljöteknik,Dricksvatten,VATDRI0
Vatten- och miljöteknik,Rening av förorenat vatten,VATREN0
Vatten- och miljöteknik,Vatten- och miljöteknik,VATVAT0
Vatten- och miljöteknik,Vattenreningens mikrobiologi,VATVAR0
Vattenbruk,Fiskodling 1,VANFIS01
Vattenbruk,Fiskodling 2,VANFIS02
Vattenbruk,Vattenbruk – grunder,VANVAT0
Vattenbruk,Vattenbruk – specialisering,VANVAE00S
Vattenkraftteknik,"Drift, underhåll, säkerhet och miljö",VAEDRT0
Vattenkraftteknik,Generatorer och transformatorer,VAEGEN0
Vattenkraftteknik,"Hydraulik, kraftstationshydraulik och turbiner",VAEHYD0
Vattenkraftteknik,Kontrollanläggningar,VAEKOR0
Vattenkraftteknik,Vattenkraftstationer,VAEVAN0
Ventilationsplåtslageri,Ventilationsisolering,VENVET0
Ventilationsplåtslageri,Ventilationsmontering 1,VENVEN01
Ventilationsplåtslageri,Ventilationsmontering 2,VENVEN02
Ventilationsplåtslageri,Ventilationsplåtslageri 1,VENVET01
Ventilationsplåtslageri,Ventilationsplåtslageri 2,VENVET02
Ventilationsplåtslageri,Ventilationsservice,VENVEI0
Ventilationsteknik,Luftbehandling,VETLUF0
Ventilationsteknik,Luftbehandlingsanläggningar,VETLUT0
Ventilationsteknik,Luftbehandlingssystem,VETLUB0
Ventilationsteknik,Luftströmning,VETLUS0
Ventilationsteknik,Ventilationsteknik – injustering,VETVEL0
Verktygs- och materialhantering,Verktygs- och materialhantering,VEKVEK0
Visuell kommunikation,Visuell kommunikation,VISVIS0
Växtkunskap,Växtkunskap 1,VÄXVÄX01
Växtkunskap,Växtkunskap 2,VÄXVÄX02
Växtkunskap,Växtkunskap – fastighetsskötsel,VÄXVÄK0
Vård och omsorg,Vård- och omsorgsarbete 1,VÅRVÅR01
Vård och omsorg,Vård- och omsorgsarbete 2,VÅRVÅR02
Vård och omsorg specialisering,Vård och omsorg – specialisering,VADVAR00S
Webbteknik,Webbserverprogrammering 1,WEBWEB01
Webbteknik,Webbserverprogrammering 2,WEBWEB02
Webbteknik,Webbutveckling 1,WEBWEU01
Webbteknik,Webbutveckling 2,WEBWEU02
Webbteknik,Webbutveckling 3,WEBWEU03
Yttre miljö,Yttre miljö – anläggningar,YTTYTT0
Yttre miljö,Yttre miljö – maskiner och verktyg,YTTYTR0
